Store,Department,Date,Product_Category,Customer_Type,Supplier_ID,Weekly_Sales,Units_Sold,Unit_Price,Inventory_Level,Temperature,Fuel_Price,CPI,Unemployment
1,Dept-06,2010-05-02,Pharmacy,Regular,SPLR-002,1643690.9,19,86510.05,1900899.72,42.31,2.572,211.0963582,8.106
1,Dept-05,2010-12-02,Home Essentials,Regular,SPLR-003,1641957.44,3,547319.15,1816276.25,38.51,2.548,211.2421698,8.106
1,Dept-10,2010-02-19,Grocery,Regular,SPLR-009,1611968.17,46,35042.79,1927069.22,39.93,2.514,211.2891429,8.106
1,Dept-01,2010-02-26,Clothing,Premium,SPLR-003,1409727.59,12,117477.3,1595796.22,46.63,2.561,211.3196429,8.106
1,Dept-10,2010-05-03,Pharmacy,New,SPLR-007,1554806.68,11,141346.06,1776491.36,46.5,2.625,211.3501429,8.106
1,Dept-06,2010-12-03,Grocery,Regular,SPLR-006,1439541.59,34,42339.46,1627206.11,57.79,2.667,211.3806429,8.106
1,Dept-04,2010-03-19,Electronics,Regular,SPLR-009,1472515.79,7,210359.4,1731002.87,54.58,2.72,211.215635,8.106
1,Dept-04,2010-03-26,Pharmacy,Regular,SPLR-006,1404429.92,24,58517.91,1644674.4,51.45,2.732,211.0180424,8.106
1,Dept-06,2010-02-04,Grocery,Regular,SPLR-008,1594968.28,14,113926.31,1879943.27,62.27,2.719,210.8204499,7.808
1,Dept-02,2010-09-04,Pharmacy,Regular,SPLR-009,1545418.53,5,309083.71,1806131.82,65.86,2.77,210.6228574,7.808
1,Dept-02,2010-04-16,Home Essentials,Regular,SPLR-006,1466058.28,39,37591.24,1626513.35,66.32,2.808,210.4887,7.808
1,Dept-06,2010-04-23,Pharmacy,Regular,SPLR-004,1391256.12,21,66250.29,1628243.21,64.84,2.795,210.4391228,7.808
1,Dept-06,2010-04-30,Electronics,New,SPLR-002,1425100.71,40,35627.52,1685757.33,67.41,2.78,210.3895456,7.808
1,Dept-03,2010-07-05,Home Essentials,Regular,SPLR-004,1603955.12,47,34126.7,1809841.91,72.55,2.835,210.3399684,7.808
1,Dept-01,2010-05-14,Pharmacy,Premium,SPLR-004,1494251.5,32,46695.36,1658874.31,74.78,2.854,210.3374261,7.808
1,Dept-10,2010-05-21,Grocery,Regular,SPLR-004,1399662.07,27,51839.34,1630541.6,76.44,2.826,210.6170934,7.808
1,Dept-07,2010-05-28,Electronics,New,SPLR-004,1432069.95,14,102290.71,1691452.23,80.44,2.759,210.8967606,7.808
1,Dept-09,2010-04-06,Pharmacy,Regular,SPLR-004,1615524.71,4,403881.18,1816106.97,80.69,2.705,211.1764278,7.808
1,Dept-04,2010-11-06,Grocery,New,SPLR-007,1542561.09,13,118658.55,1709373.01,80.43,2.668,211.4560951,7.808
1,Dept-03,2010-06-18,Pharmacy,Regular,SPLR-003,1503284.06,2,751642.03,1764095.97,84.11,2.637,211.4537719,7.808
1,Dept-05,2010-06-25,Clothing,Regular,SPLR-003,1422711.6,16,88919.48,1616624.89,84.34,2.653,211.3386526,7.808
1,Dept-04,2010-02-07,Grocery,Premium,SPLR-010,1492418.14,27,55274.75,1734447.55,80.91,2.669,211.2235333,7.787
1,Dept-05,2010-09-07,Electronics,New,SPLR-009,1546074.18,35,44173.55,1712643.99,80.48,2.642,211.108414,7.787
1,Dept-08,2010-07-16,Home Essentials,Premium,SPLR-002,1448938.92,30,48297.96,1676312.24,83.15,2.623,211.1003854,7.787
1,Dept-03,2010-07-23,Home Essentials,Regular,SPLR-001,1385065.2,32,43283.29,1549620.24,83.36,2.608,211.2351443,7.787
1,Dept-07,2010-07-30,Pharmacy,Premium,SPLR-005,1371986.6,10,137198.66,1525039.01,81.84,2.64,211.3699032,7.787
1,Dept-03,2010-06-08,Clothing,Regular,SPLR-005,1605491.78,7,229355.97,1841003.53,87.16,2.627,211.5046621,7.787
1,Dept-02,2010-08-13,Grocery,Premium,SPLR-003,1508237.76,37,40763.18,1770438.39,87.0,2.692,211.6394211,7.787
1,Dept-06,2010-08-20,Home Essentials,Regular,SPLR-002,1513080.49,22,68776.39,1697469.17,86.65,2.664,211.6033633,7.787
1,Dept-05,2010-08-27,Electronics,Regular,SPLR-008,1449142.92,20,72457.15,1731325.69,85.22,2.619,211.5673056,7.787
1,Dept-10,2010-03-09,Clothing,Premium,SPLR-007,1540163.53,48,32086.74,1738087.5,81.21,2.577,211.5312479,7.787
1,Dept-02,2010-10-09,Electronics,New,SPLR-005,1507460.69,20,75373.03,1802935.33,78.69,2.565,211.4951902,7.787
1,Dept-05,2010-09-17,Pharmacy,Premium,SPLR-006,1430378.67,33,43344.81,1593322.43,82.11,2.582,211.5224596,7.787
